symbol,name,industry,close,score,score_coverage,score_industry,score_growth,score_quality,score_valuation,score_momentum,score_risk,score_theme,score_capital,score_liquidity,ret_since_924,ret_ytd,close_position_250,dist_to_52w_high,close_position_20,history_days,listed_days,ret_20,ret_60,relative_ret_20,relative_ret_60,realized_vol_20,downside_vol_20,max_drawdown_60,signed_amount_pressure_20,volume_trend_20,turnover_value_20,theme_tags,theme_heat_max,theme_days_20,lhb_count_20,lhb_net_buy_rel,main_net_inflow,margin_rz_chg_20,pe_ttm,pe_industry_value,yoy_net_income,revenue_yoy,profit_growth_acceleration,positive_growth_streak,roe_avg,gross_profit_margin,cfo_to_np,liability_to_asset,operation_signal,reference_price,buy_low,buy_high,pullback_price,no_chase_price,invalidation_price,valuation_anchor,target_1,target_2,expectation_state,operation_weekday,operation_reason,pe_ttm_value,pb_mrq,ps_ttm,eps_ttm,net_profit_margin,yoy_eps_basic,yoy_profit_net_income,eps_growth_acceleration,positive_profit_streak,current_ratio,quick_ratio,cash_ratio,asset_to_equity,ebit_to_interest,cfo_to_or,cfo_to_gr,financial_safety_value,market_cap,industry_score,industry_leader_score,lhb_net_buy_20,theme_tag_count,theme_heat_sum,reason,listed_date,trade_date,amount,base_924,base_ytd,close_position_60,ma20_dev,ma60_dev,amount_avg_20,ret_rank_20,volatility_value,drawdown_value,downside_volatility_value,valuation_close,net_profit,revenue,total_share,announcement_alert
002568,百润股份,红黄酒,18.63,0.7289607241989785,1.0,0.996919014084507,0.6524468330932448,0.7419690799454876,0.8188622754491017,0.5217750546600904,0.6009389671361502,0.40669014084507044,0.6099290780141844,0.6267605633802817,0.07937427578215517,-0.13389121338912147,0.34148264984227117,-0.30948851000741295,1.0,300,5661.0,0.057321225879682025,0.07130534790109255,0.026798013393075193,0.07083411364482228,0.017188798607889046,0.011720946525969594,-0.16747572815533995,0.3494824663495267,1.124348825813261,191219450.0,,,0,0,,,0.01804961993592369,26.684160093501983,0.8600513643697649,0.230605,0.1306251247114547,0.037167000000000006,2.0,0.094939,0.706588,0.921096,0.414037,今天可分批,18.63,18.20633333333333,18.63,18.20633333333333,18.918204586258476,17.643032338634754,,19.7828183450339,26.98,正在兑现,周三,当前没有明显追高或逻辑失效信号，以参考价附近分批观察。 短期收益和相对大盘表现为正，价格正在验证推荐逻辑。 节前提醒：2026年中秋节前倒数第二个交易日；若假期需要银行可取资金，请留意卖出款通常要到下一交易日才能转出。这不是必跌信号，也不改变个股分数。,-3.2840701344358516,,,0.698167,0.288859,0.210526,0.230806,0.04385899999999998,5.0,1.604344,0.955812,0.862514,1.706593,59.291085,0.266067,0.266067,-0.414037,19405449549.629997,0.9075757575757576,1.0,,,,,2011-03-25,2026-09-23,467110000.0,17.26,21.51,0.5717391304347822,0.04273360758962297,0.02327029055823071,191219450.0,0.7246515180446821,-0.017188798607889046,-0.16747572815533995,-0.011720946525969594,18.63,478883744.22,1657844914.77,1041623701.0,
688525,佰维存储,半导体,222.69,0.7088454088055557,1.0,0.9225352112676056,0.5677829622948899,0.9635580975565325,0.9805389221556886,0.32917344621277606,0.2470657276995305,0.40669014084507044,0.18439716312056736,0.9911971830985915,4.164424860853432,0.9508541392904073,0.33883739345102243,-0.5604050692881677,0.5272895467160034,300,1363.0,-0.0010765711209796969,-0.5186642170106992,-0.03159978360758653,-0.5191354512669695,0.02850151793915,0.010847096632853276,-0.5474377036189134,0.03417820116708498,1.200977465223102,3608211105.0,,,0,0,,,-0.05325290159951057,12.73749895899016,2.0733227314883047,30.615525,,,1.0,0.790009,0.548116,,,今天可分批,222.69,219.19549999999998,222.69,219.19549999999998,228.4023027268824,207.95017194422425,,245.53921090752954,445.38,基本面尚未充分反映,周三,当前没有明显追高或逻辑失效信号，以参考价附近分批观察。 增长代理为正但近20日价格尚未明显兑现，适合分批而非追价。 节前提醒：2026年中秋节前倒数第二个交易日；若假期需要银行可取资金，请留意卖出款通常要到下一交易日才能转出。这不是必跌信号，也不改变个股分数。,-2.544550316820884,,,17.483024,0.458919,30.960784,32.734823,,1.0,,,,,,,,,105013178624.64,0.7106060606060606,0.8808290155440415,,,,,2022-12-30,2026-09-23,6124250000.0,43.12,114.15,0.0687603039929229,0.015942389328248208,-0.13487145187158334,3608211105.0,0.4752721023486729,-0.02850151793915,-0.5474377036189134,-0.010847096632853276,222.69,7147631247.13,15574943371.35,471566656.0,
002151,北斗星通,通信设备,29.84,0.707289463163628,0.8500000000000001,0.6580105633802817,0.8494704518379272,0.7375906724547899,,0.55567384451111,0.8233568075117371,0.40669014084507044,0.458628841607565,0.7904929577464789,0.26870748299319724,-0.34316530926700417,0.07442557442557443,-0.5539611360239163,1.0,300,6981.0,0.05553590378493101,-0.09107523606457502,0.025012691298324174,-0.09154647032084529,0.01431292005968344,0.005501518253092683,-0.17632628028212205,0.3327504325278048,1.5982792612720018,340752660.0,,,0,0,,,-0.01128251460057983,,,9.537358,0.38478652712203143,8.292732999999998,5.0,0.008416,0.38331,4.642457,0.193497,等回落再买,29.84,29.07122443775428,29.632951488164117,29.07122443775428,30.22438778112286,28.32225503720783,,31.377551124491436,59.68,短期兑现较充分,周三,短期价格或题材热度已有较多兑现，不在当前价上方追价。 20日涨幅、区间位置、距高点、量能或题材活跃度中至少两项偏高，当前更适合等回落。 节前提醒：2026年中秋节前倒数第二个交易日；若假期需要银行可取资金，请留意卖出款通常要到下一交易日才能转出。这不是必跌信号，也不改变个股分数。,,,,-0.400937,0.024533,29.769231,27.841766,28.269231,2.0,3.756867,2.730707,1.58833,1.239921,,0.113891,0.113891,-0.193497,16200461643.92,0.5795454545454546,0.676923076923077,,,,,2007-08-13,2026-09-23,805050000.0,23.52,45.43,0.5182608695652174,0.03589529959036297,0.030422321212749015,340752660.0,0.7200687416459806,-0.01431292005968344,-0.17632628028212205,-0.005501518253092683,29.84,30307039.98,1235380706.91,542910913.0,
301061,匠心家居,家居用品,44.14,0.6981159756107262,1.0,0.743838028169014,0.4719569130471459,0.8352000255080212,0.812874251497006,0.8371839036626497,0.4741784037558685,0.40669014084507044,0.9125295508274232,0.545774647887324,0.5860582105641394,-0.39150813344361735,0.21960038058991432,-0.48162066940692894,1.0,300,1836.0,0.3152562574493445,0.260422615648201,0.28473304496273766,0.25995138139193075,0.04090622637143281,0.009412420491703025,-0.1299610894941634,0.5068169970054913,1.2320682564527514,159336655.0,,,0,0,,,0.18156857719856134,17.12286919392561,0.4490370164904666,-0.287909,-0.06809272580132075,-0.14532200000000003,,0.071738,0.386323,1.016842,0.222174,等回落再买,44.14,40.88991850233692,43.14799905680106,40.88991850233692,45.464200000000005,37.87914442971806,62.24280221935771,50.640162995326165,85.15,短期兑现较充分,周三,短期价格或题材热度已有较多兑现，不在当前价上方追价。 20日涨幅、区间位置、距高点、量能或题材活跃度中至少两项偏高，当前更适合等回落。 节前提醒：2026年中秋节前倒数第二个交易日；若假期需要银行可取资金，请留意卖出款通常要到下一交易日才能转出。这不是必跌信号，也不改变个股分数。,-2.8404149497745723,,,2.577839,0.196562,-0.294118,-0.287909,0.05071000000000003,5.0,4.580961,4.084351,3.530333,1.285634,,0.199872,0.199872,-0.222174,12553310990.94,0.5431818181818182,0.9411764705882353,,,,,2021-09-13,2026-09-23,133110000.0,27.83,72.54,1.0,0.15181879860132552,0.22163742959809207,159336655.0,0.9700210043918274,-0.04090622637143281,-0.1299610894941634,-0.009412420491703025,44.14,307553996.1,1564669191.63,284397621.0,
002315,焦点科技,互联网,25.6,0.6959861882822098,0.9800000000000001,0.792693661971831,0.6071023913292114,0.7391465414895902,0.8143712574850299,0.5710941339977289,0.7065727699530516,0.40669014084507044,,0.6179577464788732,0.48062463851937554,-0.25058548009367665,0.15425971877584785,-0.44408251900108575,0.8392857142857146,300,6132.0,0.01065929727595738,0.09075415423945477,-0.019863915210649452,0.0902829199831845,0.022285163358977858,0.006973425344839009,-0.14213381555153703,-0.03287913201221228,1.2482237540303294,188567630.0,,,0,0,,,,22.507948119179588,0.6408635449644791,-0.154033,0.15669018230713472,0.058592000000000005,,0.094509,0.791017,1.160272,0.406141,今天可分批,25.6,24.891000000000002,25.6,24.891000000000002,26.11345016379085,23.89253999789703,43.73266828341612,27.6538006551634,46.05,暂无明确代理,周三,当前没有明显追高或逻辑失效信号，以参考价附近分批观察。 当前已有数据不足以判断短期预期兑现程度，不把缺失值当成利好或利空。 节前提醒：2026年中秋节前倒数第二个交易日；若假期需要银行可取资金，请留意卖出款通常要到下一交易日才能转出。这不是必跌信号，也不改变个股分数。,-3.1138684965736894,,,1.137376,0.236256,-0.117112,-0.117095,0.008384000000000003,5.0,1.239692,1.237691,1.110987,1.683903,,0.274121,0.273435,-0.406141,10557609702.400002,0.6984848484848485,0.6875,,,,,2009-12-09,2026-09-23,298340000.0,17.29,34.16,0.6453287197231837,0.028484191073078646,0.03193905109979456,188567630.0,0.5415314111132328,-0.022285163358977858,-0.14213381555153703,-0.006973425344839009,25.6,249535526.78,1058858543.41,412406629.0,
603888,新华网,互联网,17.79,0.6952327483164715,1.0,0.8411091549295775,0.4047153425646375,0.8254537513144712,0.597305389221557,0.7904082134201116,0.6596244131455399,0.40669014084507044,0.9030732860520094,0.8644366197183099,0.26709401709401703,0.014831717056474458,0.2335890878090365,-0.33569828230022414,0.6168582375478926,300,3617.0,0.10428305400372428,0.1389244558258642,0.07375984151711745,0.13845322156959394,0.022527533215124136,0.01010147569497348,-0.08675534991324463,0.43222372352756083,1.6634142478359588,439972680.0,,,0,0,,,0.1710748952635981,37.425921289858394,0.13236849457198455,-0.055125,,,,0.038359,0.405891,,,今天可分批,17.79,17.201,17.79,17.201,18.150688334307354,16.50350702209997,18.277019041346694,18.277019041346694,26.78,正在兑现,周三,当前没有明显追高或逻辑失效信号，以参考价附近分批观察。 短期收益和相对大盘表现为正，价格正在验证推荐逻辑。 节前提醒：2026年中秋节前倒数第二个交易日；若假期需要银行可取资金，请留意卖出款通常要到下一交易日才能转出。这不是必跌信号，也不改变个股分数。,-3.622363546966184,,,0.475339,0.174951,-0.055395,-0.055125,,1.0,,,,,,,,,12003592008.72,0.6984848484848485,0.775,,,,,2016-10-28,2026-09-23,533660000.0,14.04,17.53,0.7326203208556149,0.03424219522120797,0.08394093872494257,439972680.0,0.8354019476799694,-0.022527533215124136,-0.08675534991324463,-0.01010147569497348,17.79,145568564.15,,674738168.0,
300896,爱美客,医疗保健,93.47,0.6914664085321433,1.0,0.8543133802816902,0.5352554900074539,0.9308383649679791,0.7634730538922155,0.4261453195708547,0.7235915492957746,0.40669014084507044,0.40189125295508277,0.6426056338028169,-0.3309712976880682,-0.33202315443436003,0.08350400297896109,-0.512974155898291,0.940129449838187,300,2186.0,0.00678586816027571,0.04834006280843428,-0.023737344326331122,0.04786882855216401,0.015742955307449614,0.007939327826949043,-0.18833333333333335,-0.04059827314429438,1.2237952582289298,194650890.0,,,0,0,,,-0.017836183759406543,25.83115977955494,0.5824289457553569,-0.241415,-0.06422344878600972,0.08058700000000002,,0.076587,0.924903,0.891196,0.074361,今天可分批,93.47,91.2535,93.47,91.2535,94.79434462932858,88.66762041013297,150.61229607723334,98.76737851731434,186.94,暂无明确代理,周三,当前没有明显追高或逻辑失效信号，以参考价附近分批观察。 当前已有数据不足以判断短期预期兑现程度，不把缺失值当成利好或利空。 节前提醒：2026年中秋节前倒数第二个交易日；若假期需要银行可取资金，请留意卖出款通常要到下一交易日才能转出。这不是必跌信号，也不改变个股分数。,-3.2515815065858127,,,3.618498,0.493692,-0.248092,-0.248383,0.07843900000000001,5.0,7.605384,7.429686,6.639739,1.080334,7373.70989,0.439977,0.439977,-0.074361,28283279941.67,0.6181818181818182,0.935672514619883,,,,,2020-09-28,2026-09-23,214830000.0,139.71,139.93,0.37126784941583724,0.024289479307642914,-0.01951631429605427,194650890.0,0.5182356310865,-0.015742955307449614,-0.18833333333333335,-0.007939327826949043,93.47,600203730.65,1215744506.39,302592061.0,
603986,兆易创新,半导体,398.72,0.6905509549109052,1.0,0.9674295774647887,0.5655775922655265,0.9717844101646919,0.7889221556886228,0.3335971000491517,0.2447183098591549,0.40669014084507044,0.1702127659574468,1.0,4.923636903877582,0.8675409836065575,0.3329806369696329,-0.5253333333333333,0.7702503681885132,300,3688.0,0.015847133757961762,-0.483530006088004,-0.01467607872864507,-0.4840012403442743,0.026680945053289277,0.012005684747000358,-0.5095925504814265,0.07403717081025421,1.1419270264722647,11842383230.0,,,0,0,,,-0.057175534539817385,35.286901215881194,1.0543612236052216,10.712473,,,1.0,0.243618,0.631305,,,今天可分批,398.72,384.99550000000005,398.72,384.99550000000005,408.2944037704828,366.50582119372547,,437.01761508193107,797.44,暂无明确代理,周三,当前没有明显追高或逻辑失效信号，以参考价附近分批观察。 当前已有数据不足以判断短期预期兑现程度，不把缺失值当成利好或利空。 节前提醒：2026年中秋节前倒数第二个交易日；若假期需要银行可取资金，请留意卖出款通常要到下一交易日才能转出。这不是必跌信号，也不改变个股分数。,-3.563511824703967,,,11.299377,0.595292,10.298851,10.914991,,1.0,,,,,,,,,279801600113.28,0.7106060606060606,0.9689119170984456,,,,,2016-08-18,2026-09-23,10521760000.0,67.31,213.5,0.16375293021154017,0.03564846861846438,-0.09128341327855427,11842383230.0,0.5680733244223792,-0.026680945053289277,-0.5095925504814265,-0.012005684747000358,398.72,6884999018.91,11565760432.15,701749599.0,
688385,复旦微电,半导体,60.87,0.6879818341186137,1.0,0.8424295774647887,0.5563190818390098,0.9600349007626003,0.6077844311377245,0.67415912442162,0.27523474178403756,0.40669014084507044,0.3215130023640662,0.9295774647887324,1.404978269458712,-0.17341118957088542,0.28353304986470806,-0.37849703900347154,1.0,300,1876.0,0.1874756145142411,-0.13142123287671237,0.15695240202763427,-0.13189246713298264,0.031677232957186566,0.010491113346346214,-0.3756756756756756,0.2270631649514698,1.3153399130337564,697213945.0,,,0,0,,,-0.030041787565164735,56.47154435340221,0.5841361767886909,3.672741,,,1.0,0.129452,0.56988,,,等回落再买,60.87,57.39925229381289,59.85388910056014,57.39925229381289,62.605373853093546,54.1264032181499,98.2500837962156,67.81149541237421,98.2500837962156,短期兑现较充分,周三,短期价格或题材热度已有较多兑现，不在当前价上方追价。 20日涨幅、区间位置、距高点、量能或题材活跃度中至少两项偏高，当前更适合等回落。 节前提醒：2026年中秋节前倒数第二个交易日；若假期需要银行可取资金，请留意卖出款通常要到下一交易日才能转出。这不是必跌信号，也不改变个股分数。,-4.033736871520498,,,1.077888,0.37894,3.291667,3.385805,,1.0,,,,,,,,,50139790747.5,0.7106060606060606,0.7202072538860104,,,,,2021-08-04,2026-09-23,734000000.0,25.31,73.64,0.5276978417266186,0.097498309668695,0.08683813485934655,697213945.0,0.9234294443383616,-0.031677232957186566,-0.3756756756756756,-0.010491113346346214,60.87,843327816.82,2225494085.21,823719250.0,
002264,新华都,互联网,7.44,0.6851312056154027,0.9800000000000001,0.6245598591549295,0.6350230268628683,0.7447476167771212,0.657185628742515,0.8878165200589822,0.4049295774647887,0.8767605633802817,,0.7764084507042254,0.6607142857142856,-0.147766323024055,0.2653061224489796,-0.40384615384615385,0.6344827586206901,300,6628.0,0.13587786259542,0.2696245733788396,0.10535465010881317,0.26915333912256934,0.036487850053191585,0.016287268223020738,-0.08430609597924776,0.1548472509349868,1.6585805725269813,328345545.0,,,1,0,,,,32.66051501769111,0.2685651850543158,-0.048229,0.1632507285683178,0.069772,,0.069165,0.194271,4.064794,0.385197,等回落再买,7.44,7.161500000000001,7.44,7.161500000000001,7.663200000000001,6.6911460713193245,8.758945475924959,8.417290575824683,12.48,短期兑现较充分,周三,短期价格或题材热度已有较多兑现，不在当前价上方追价。 20日涨幅、区间位置、距高点、量能或题材活跃度中至少两项偏高，当前更适合等回落。 节前提醒：2026年中秋节前倒数第二个交易日；若假期需要银行可取资金，请留意卖出款通常要到下一交易日才能转出。这不是必跌信号，也不改变个股分数。,-3.4861668564838526,,,0.227798,0.065505,-0.047619,-0.037377,0.029304000000000004,5.0,2.401211,1.823399,1.174473,1.626538,,0.266265,0.266265,-0.385197,5355396072.0,0.6984848484848485,0.3875,,,,,2008-07-31,2026-09-23,620270000.0,4.48,8.73,0.757990867579909,0.038888501012357635,0.1289833080424887,328345545.0,0.8760740882184457,-0.036487850053191585,-0.08430609597924776,-0.016287268223020738,7.44,141611113.67,2161829476.93,719811300.0,
