symbol,name,industry,close,score,score_coverage,score_industry,score_growth,score_quality,score_valuation,score_momentum,score_risk,score_theme,score_capital,score_liquidity,ret_since_924,ret_ytd,close_position_250,dist_to_52w_high,close_position_20,history_days,listed_days,ret_20,ret_60,relative_ret_20,relative_ret_60,realized_vol_20,downside_vol_20,max_drawdown_60,signed_amount_pressure_20,volume_trend_20,turnover_value_20,theme_tags,theme_heat_max,theme_days_20,lhb_count_20,lhb_net_buy_rel,main_net_inflow,margin_rz_chg_20,pe_ttm,pe_industry_value,yoy_net_income,revenue_yoy,profit_growth_acceleration,positive_growth_streak,roe_avg,gross_profit_margin,cfo_to_np,liability_to_asset,operation_signal,reference_price,buy_low,buy_high,pullback_price,no_chase_price,invalidation_price,valuation_anchor,target_1,target_2,expectation_state,operation_weekday,operation_reason,pe_ttm_value,pb_mrq,ps_ttm,eps_ttm,net_profit_margin,yoy_eps_basic,yoy_profit_net_income,eps_growth_acceleration,positive_profit_streak,current_ratio,quick_ratio,cash_ratio,asset_to_equity,ebit_to_interest,cfo_to_or,cfo_to_gr,financial_safety_value,market_cap,industry_score,industry_leader_score,lhb_net_buy_20,theme_tag_count,theme_heat_sum,reason,listed_date,trade_date,amount,base_924,base_ytd,close_position_60,ma20_dev,ma60_dev,amount_avg_20,ret_rank_20,volatility_value,drawdown_value,downside_volatility_value,valuation_close,net_profit,revenue,total_share
603888,新华网,互联网,18.45,0.7058230837625826,1.0,0.8757225433526012,0.39846052882435073,0.8271190265409919,0.602760736196319,0.8211436801921462,0.6615285806037251,0.45327552986512526,0.8992443324937027,0.8265895953757225,0.3141025641025641,0.0524814603536794,0.28985507246376796,-0.31105302464525775,0.873134328358209,300,3616.0,0.13888888888888884,0.2019543973941369,0.1018254871620583,0.1767985148068496,0.020663450747388876,0.010448551367328165,-0.08675534991324463,0.5117761962283525,1.7605790932827325,416820500.0,,0,0,0,,,0.17910139569379147,38.81440403585651,0.11171880098905264,-0.055125,,,,0.038359,0.405891,,,等回落再买,18.45,17.763766800679214,18.259298773184028,17.763766800679214,18.79311659966039,17.103057504006127,18.567684102436807,19.82246639864157,26.78,短期兑现较充分,周二,短期价格或题材热度已有较多兑现，不在当前价上方追价。 20日涨幅、区间位置、距高点、量能或题材活跃度中至少两项偏高，当前更适合等回落。,-3.658791415774976,,,0.475339,0.174951,-0.055395,-0.055125,,1.0,,,,,,,,,12448919199.6,0.718939393939394,0.775,,0,0,,2016-10-28,2026-09-22,813598900.0,14.04,17.53,0.9090909090909091,0.07787579599228844,0.1266372879285953,416820500.0,0.8797021195340844,-0.020663450747388876,-0.08675534991324463,-0.010448551367328165,18.45,145568564.15,,674738168.0
301061,匠心家居,家居用品,43.86,0.7048790921610897,1.0,0.7620423892100192,0.4597942021949197,0.8364355614787407,0.8236196319018405,0.8659062147279134,0.4662813102119461,0.45327552986512526,0.9168765743073047,0.5221579961464354,0.5759971254042402,-0.3953680727874277,0.21427212178877253,-0.48490898414562544,1.0,300,1835.0,0.2661662817551962,0.2506415739948673,0.22910288002836565,0.22548569140758,0.04208537384745067,0.00961724654336524,-0.1299610894941634,0.4450541042597616,1.3946697371932357,156935425.0,,0,0,0,,,0.1998025841123745,17.014251083950548,0.480694646024778,-0.287909,-0.06809272580132075,-0.14532200000000003,,0.071738,0.386323,1.016842,0.222174,等回落再买,43.86,40.537443905491465,42.84058910562806,40.537443905491465,45.1758,37.46658363864266,63.837249845773016,50.505112189017076,85.15,短期兑现较充分,周二,短期价格或题材热度已有较多兑现，不在当前价上方追价。 20日涨幅、区间位置、距高点、量能或题材活跃度中至少两项偏高，当前更适合等回落。,-2.834051291935724,,,2.577839,0.196562,-0.294118,-0.287909,0.05071000000000003,5.0,4.580961,4.084351,3.530333,1.285634,,0.199872,0.199872,-0.222174,12473679657.06,0.5045454545454545,0.9411764705882353,,0,0,,2021-09-13,2026-09-22,217299900.00000003,27.83,72.54,1.0,0.16053237372000106,0.21901620815364176,156935425.0,0.9589459614282987,-0.04208537384745067,-0.1299610894941634,-0.00961724654336524,43.86,307553996.1,1564669191.63,284397621.0
002264,新华都,互联网,7.97,0.7036406287368195,0.9800000000000001,0.668111753371869,0.6236979559689814,0.7394800202320598,0.6426380368098159,0.9134696142255057,0.6043673731535003,0.6902697495183044,,0.74373795761079,0.779017857142857,-0.08705612829324172,0.3425655976676384,-0.3613782051282052,1.0,300,6627.0,0.20030120481927716,0.41312056737588665,0.16323780309244662,0.38796468478859936,0.03278901114114833,0.008519726254995669,-0.08430609597924776,0.2617477269203536,1.680434138278428,300526755.0,,0,1,0,,,,34.9871377272847,0.21552971632305318,-0.048229,0.1632507285683178,0.069772,,0.069165,0.194271,4.064794,0.385197,等回落再买,7.97,7.499608846169085,7.8315802694843315,7.499608846169085,8.205195576915456,7.056980281748758,8.898241682603153,8.898241682603153,12.48,短期兑现较充分,周二,短期价格或题材热度已有较多兑现，不在当前价上方追价。 20日涨幅、区间位置、距高点、量能或题材活跃度中至少两项偏高，当前更适合等回落。,-3.5549805004409754,,,0.227798,0.065505,-0.047619,-0.037377,0.029304000000000004,5.0,2.401211,1.823399,1.174473,1.626538,,0.266265,0.266265,-0.385197,5736896061.0,0.718939393939394,0.4,,0,0,,2008-07-31,2026-09-22,883726900.0,4.48,8.73,1.0,0.11985387101306721,0.21426032197450606,300526755.0,0.9341225892686653,-0.03278901114114833,-0.08430609597924776,-0.008519726254995669,7.97,141611113.67,2161829476.93,719811300.0
002151,北斗星通,通信设备,29.75,0.6981096084486683,0.8500000000000001,0.6579961464354528,0.8455492430852042,0.7325332699334169,,0.5145952807135555,0.821451509312781,0.45327552986512526,0.5037783375314862,0.7533718689788054,0.26488095238095233,-0.34514637904468415,0.07217782217782218,-0.5553064275037369,1.0,300,6980.0,0.04716649067229839,-0.06299212598425197,0.010103088945467853,-0.08814800857153926,0.014411495412301578,0.00542395699557386,-0.18184587267742913,0.2010284304993825,1.4266518822924938,311094430.0,,0,0,0,,,0.0009620092519893042,,,9.537358,0.38478652712203143,8.292732999999998,5.0,0.008416,0.38331,4.642457,0.193497,今天可分批,29.75,29.008833333333335,29.75,29.008833333333335,30.135867789664378,28.256324130034137,,31.2934711586575,59.5,正在兑现,周二,当前没有明显追高或逻辑失效信号，以参考价附近分批观察。 短期收益和相对大盘表现为正，价格正在验证推荐逻辑。,,,,-0.400937,0.024533,29.769231,27.841766,28.269231,2.0,3.756867,2.730707,1.58833,1.239921,,0.113891,0.113891,-0.193497,16151599661.75,0.5704545454545454,0.6692307692307692,,0,0,,2007-08-13,2026-09-22,990185700.0000001,23.52,45.43,0.48408710217755463,0.03559307283961344,0.02554968888786746,311094430.0,0.6776780599579912,-0.014411495412301578,-0.18184587267742913,-0.00542395699557386,29.75,30307039.98,1235380706.91,542910913.0
603613,国联股份,互联网,21.01,0.6874668959073174,1.0,0.8978805394990366,0.5167248009907369,0.517536462421016,0.9769938650306749,0.6401078542030075,0.48876043673731534,0.45327552986512526,0.5340050377833753,0.7167630057803468,0.06379746835443045,-0.24964285714285706,0.2489000628535513,-0.3625606796116505,0.902097902097903,300,2611.0,0.15566556655665575,0.14060803474484262,0.11860216482982522,0.11545215215755533,0.03042639328514278,0.010529334930682071,-0.1318737270875764,0.2976241852919811,1.1510693606806857,268801055.0,,0,0,0,,,0.003753557011626718,11.402180578846542,1.3367056008088571,-0.010178,-0.16090089487500203,-0.022791,,0.072612,0.079569,-1.20718,0.486238,等回落再买,21.01,19.859334658742473,20.675069359798496,19.859334658742473,21.585332670628762,18.771688390667777,,23.311330682515063,32.96,短期兑现较充分,周二,短期价格或题材热度已有较多兑现，不在当前价上方追价。 20日涨幅、区间位置、距高点、量能或题材活跃度中至少两项偏高，当前更适合等回落。,-2.4338046159551716,,,1.84263,0.041023,0.010638,0.008122,-0.016389,5.0,2.490499,2.339207,0.649627,1.946425,12.555696,-0.049522,-0.049522,-0.486238,15138499451.130001,0.718939393939394,0.8375,,0,0,,2019-07-30,2026-09-22,246834900.00000003,19.75,28.0,0.933962264150944,0.06476788972227854,0.10774259879260839,268801055.0,0.8963146839793775,-0.03042639328514278,-0.1318737270875764,-0.010529334930682071,21.01,827843661.81,20179858819.67,720537813.0
603986,兆易创新,半导体,402.1,0.6863958835855518,1.0,0.9455684007707129,0.5657085639962426,0.9768438959190404,0.7883435582822086,0.321092375338707,0.23956326268464997,0.45327552986512526,0.2141057934508816,1.0,4.973852325063141,0.8833723653395786,0.3398459288740145,-0.5213095238095238,0.8324742268041243,300,3687.0,0.016662031301357905,-0.5066257668711656,-0.02040137042547263,-0.5317816494584529,0.02666727455661513,0.012075279842402097,-0.5586326601987021,0.07115406372128565,1.1421079398455907,11874258065.0,,0,0,0,,,-0.052351773856861405,35.5860327520712,1.0236000039062751,10.712473,,,1.0,0.243618,0.631305,,,今天可分批,402.1,384.6845,402.1,384.6845,411.7506199892935,366.21922307748645,,440.7024799571738,804.2,暂无明确代理,周二,当前没有明显追高或逻辑失效信号，以参考价附近分批观察。 当前已有数据不足以判断短期预期兑现程度，不把缺失值当成利好或利空。,-3.571953222448162,,,11.299377,0.595292,10.298851,10.914991,,1.0,,,,,,,,,282173513757.9,0.6901515151515151,0.9689119170984456,,0,0,,2016-08-18,2026-09-22,20578129200.0,67.31,213.5,0.14227745959607674,0.04527216459202288,-0.0963926493418451,11874258065.0,0.5277830819171281,-0.02666727455661513,-0.5586326601987021,-0.012075279842402097,402.1,6884999018.91,11565760432.15,701749599.0
688525,佰维存储,半导体,217.22,0.6860758209762764,1.0,0.8945086705202312,0.567637206098295,0.9659031450938965,0.9815950920245399,0.2073894190390411,0.2607578676942839,0.45327552986512526,0.12090680100755667,0.9884393063583815,4.037569573283859,0.9029347349978099,0.3305880719937075,-0.5712029689288958,0.3586185630588959,300,1362.0,-0.044766930518909454,-0.5605591632781048,-0.08183033224573999,-0.5857150458653921,0.02822199351418251,0.010392048570782802,-0.5556252026369826,-0.09900596437780718,1.1119250709790371,3461852295.0,,0,0,0,,,-0.07129191744051966,12.424624023853081,2.0758729144792283,30.615525,,,1.0,0.790009,0.548116,,,今天可分批,217.22,206.18531342392868,217.22,206.18531342392868,222.73734328803562,195.711184383223,,239.28937315214262,434.44,基本面尚未充分反映,周二,当前没有明显追高或逻辑失效信号，以参考价附近分批观察。 增长代理为正但近20日价格尚未明显兑现，适合分批而非追价。,-2.5196803118752085,,,17.483024,0.458919,30.960784,32.734823,,1.0,,,,,,,,,102433709016.31999,0.6901515151515151,0.8756476683937824,,0,0,,2022-12-30,2026-09-22,4714684600.0,43.12,114.15,0.04524235587022484,-0.009066751821903862,-0.16903261017178262,3461852295.0,0.16135191903761695,-0.02822199351418251,-0.5556252026369826,-0.010392048570782802,217.22,7147631247.13,15574943371.35,471566656.0
002145,钛能化学,化工原料,4.7,0.6847015155456071,1.0,0.8338150289017341,0.73385625618182,0.5937543393298595,0.6426380368098159,0.6701116925661168,0.6730892742453435,0.45327552986512526,0.17632241813602015,0.6685934489402697,0.370262390670554,-0.03292181069958855,0.2894736842105263,-0.22314049586776852,0.779411764705883,300,6990.0,0.08045977011494276,0.002132196162046851,0.04339636838811223,-0.02302368642524044,0.019765762192685145,0.009189482823491283,-0.14020618556701026,0.22719562741534563,1.9713274423585327,224797020.0,,0,0,0,,,-0.05724711112369474,34.58221738234688,0.19289928068358944,0.606305,0.24428599299540976,0.835282,1.0,0.033252,0.179062,0.842675,0.378115,等回落再买,4.7,4.532781651849884,4.653733395522356,4.532781651849884,4.783609174075059,4.371512660286588,5.1299775027375025,5.034436696300232,6.05,正在兑现,周二,短期价格或题材热度已有较多兑现，不在当前价上方追价。 短期收益和相对大盘表现为正，价格正在验证推荐逻辑。,-3.543339601459801,,,0.135908,0.092535,0.64557,0.619339,0.855379,5.0,1.652938,1.378945,1.075733,1.608014,,0.077977,0.077977,-0.378115,17891359260.100002,0.6303030303030303,0.8361344537815126,,0,0,,2007-08-03,2026-09-22,460825700.0,3.43,4.86,0.779411764705883,0.06818181818181812,0.05768509489160589,224797020.0,0.7792629367958755,-0.019765762192685145,-0.14020618556701026,-0.009189482823491283,4.7,421711542.75,4557336219.66,3806672183.0
688336,三生国健,生物制药,41.65,0.6842471135840374,1.0,0.8477842003853564,0.5092934577256449,0.9229200298564461,0.9785276073619631,0.40704890682658573,0.37443802183686575,0.45327552986512526,0.1712846347607053,0.6859344894026975,2.5688426753038653,0.021958740348133166,0.2549055558751946,-0.3404325907063548,0.6462093862815882,300,2253.0,-0.041647491946617654,-0.21563088512241058,-0.07871089367344819,-0.24078676770969787,0.021165162731839,0.011981434331801766,-0.3730237154150198,0.19773219173663575,1.5017247349321508,239545200.2605,,0,0,0,,,-0.05792596719399368,12.118207366531692,1.5519834070862994,0.981522,,,1.0,0.043796,0.804807,,,今天可分批,41.65,41.322500000000005,41.65,41.322500000000005,42.44337612500298,39.748224613424455,,44.82350450001194,63.147450000000006,基本面尚未充分反映,周二,当前没有明显追高或逻辑失效信号，以参考价附近分批观察。 增长代理为正但近20日价格尚未明显兑现，适合分批而非追价。,-2.494709062650001,,,3.436977,0.425181,0.952381,0.951026,,1.0,,,,,,,,,37327789117.85,0.6015151515151516,0.9210526315789473,,0,0,,2020-07-22,2026-09-22,387538200.0,11.67045,40.75507,0.1580573951434878,0.007925464335410304,-0.08344366974630568,239545200.2605,0.17242696200114568,-0.021165162731839,-0.3730237154150198,-0.011981434331801766,41.65,368080700.0,865703200.0,896225429.0
688385,复旦微电,半导体,60.13,0.6814351655054525,1.0,0.8155105973025047,0.5551019623491785,0.9633452610331222,0.6180981595092024,0.6556513246153086,0.3031470777135517,0.45327552986512526,0.2367758186397985,0.8959537572254336,1.3757408139075467,-0.1834600760456273,0.2692307692307693,-0.38605268531754133,1.0,300,1875.0,0.15412667946257197,-0.15583321634142921,0.11706327773574143,-0.1809890989287165,0.032136767030147104,0.009953086550713777,-0.3756756756756756,0.1421592920783034,1.3365215778732484,684777995.0,,0,0,0,,,-0.04450616542112262,55.785016625103914,0.5740479122882947,3.672741,,,1.0,0.129452,0.56988,,,等回落再买,60.13,56.651709157259056,59.10952290897181,56.651709157259056,61.869145421370476,53.37462415497538,96.08145119465306,67.08658168548189,97.94,短期兑现较充分,周二,短期价格或题材热度已有较多兑现，不在当前价上方追价。 20日涨幅、区间位置、距高点、量能或题材活跃度中至少两项偏高，当前更适合等回落。,-4.021505314066142,,,1.077888,0.37894,3.291667,3.385805,,1.0,,,,,,,,,49530238502.5,0.6901515151515151,0.7150259067357513,,0,0,,2021-08-04,2026-09-22,991368900.0,25.31,73.64,0.5010791366906475,0.0936306427558109,0.07069088319088324,684777995.0,0.8953599388963147,-0.032136767030147104,-0.3756756756756756,-0.009953086550713777,60.13,843327816.82,2225494085.21,823719250.0
