symbol,name,close,score,score_coverage,score_momentum,score_theme,score_capital,score_liquidity,ret_since_924,ret_ytd,close_position_250,dist_to_52w_high,close_position_20,history_days,listed_days,ret_20,ret_60,volume_trend_20,turnover_value_20,theme_tags,theme_heat_max,theme_days_20,lhb_count_20,lhb_net_buy_rel,main_net_inflow,margin_rz_chg_20,lhb_net_buy_20,theme_tag_count,theme_heat_sum,reason,listed_date,trade_date,amount,base_924,base_ytd,close_position_60,ma20_dev,ma60_dev,amount_avg_20,ret_rank_20
000980,众泰汽车,2.15,0.8803510273972602,0.7999999999999999,0.9863013698630136,0.7391552511415524,,0.9155251141552512,0.3782051282051282,-0.3909348441926346,0.24809160305343508,-0.47815533980582525,0.7464788732394364,300,9588.0,0.360759493670886,0.023809523809523725,2.465191639293164,532720415.816,,0,4,,,,,,0,0,,2000-06-16,2026-09-16,1260309533.74,1.56,3.53,0.7831325301204818,0.18099423235374879,0.21813031161473084,532720415.816,0.9872015281757403
002531,天顺风能,7.82,0.8716466894977168,0.7999999999999999,0.9977168949771689,0.716324200913242,,0.8881278538812786,0.1094338766059837,0.13994169096209919,0.25392296718972895,-0.4007662835249042,1.0,300,5738.0,0.28618421052631593,-0.1272321428571429,2.8003748313601684,456400385.34799993,,0,2,,,,,,0,0,,2010-12-31,2026-09-16,2215201322.95,7.04864,6.86,0.6472727272727276,0.20409577334667794,0.14372074882995323,456400385.34799993,0.9753581661891118
600865,百大集团,10.29,0.8483162100456622,0.7999999999999999,0.9463470319634704,0.7448630136986301,,0.8264840182648402,0.6292245840964878,-0.3725609756097561,0.18616262482168328,-0.5258064516129033,0.2696969696969696,300,11726.0,0.19651162790697674,0.18685121107266434,2.2054370970689123,365543794.5585,,0,5,,,,,,0,0,,1994-08-09,2026-09-16,570836753.84,6.315888,16.4,0.35127860026917895,-0.04114056748823569,0.11677881484697217,365543794.5585,0.9474689589302769
002560,通达股份,7.44,0.8457477168949772,0.7999999999999999,0.9874429223744292,0.716324200913242,,0.773972602739726,0.9967268708445136,0.03824133082443626,0.30215696125910313,-0.4232558139534883,0.8426966292134834,300,5676.0,0.21568627450980404,-0.09599027946537064,2.6396535965829604,290566296.823,,0,2,,,,,,0,0,,2011-03-03,2026-09-16,1074552368.97,3.726098,7.165964,0.7952755905511812,0.15851759576455948,0.14826628253935592,290566296.823,0.9553008595988539
600410,华胜天成,15.79,0.8317636986301371,0.7999999999999999,0.8664383561643836,0.716324200913242,,0.9817351598173516,2.5542770062588134,-0.11627206731331607,0.14800117592743195,-0.5164916462372393,1.0,300,8177.0,0.15003641660597222,-0.10778913084874187,1.782773677177864,1190312047.817,,0,2,,,,,,0,0,,2004-04-27,2026-09-16,1946373056.59,4.442535,17.86749,0.7310032708030308,0.1012693541637606,0.07678979706092526,1190312047.817,0.9157593123209169
603601,再升科技,10.29,0.8310502283105023,0.7999999999999999,0.9235159817351598,0.6638127853881279,,0.9497716894977168,2.82679387936116,-0.17427460144104734,0.30643588263281507,-0.562397111225556,0.758454106280193,300,4255.0,0.1433333333333333,-0.1910377358490567,2.263631212753374,826806185.03,,0,1,,,,,,0,0,,2015-01-22,2026-09-16,1087825491.7,2.688935,12.46177,0.5539419087136929,0.10018175986314537,0.07574094401756315,826806185.03,0.9088825214899714
600967,内蒙一机,13.47,0.8254851598173516,0.7999999999999999,0.841324200913242,0.7311643835616438,,0.9771689497716894,1.0294675065980292,-0.19054907453979386,0.29881817861743787,-0.3657287268381506,0.6378896882494005,300,8156.0,0.25770308123249297,0.2055654701705334,1.566180794959728,1142076353.7020001,,0,3,,,,,,0,0,,2004-05-18,2026-09-16,1046271409.96,6.637209,16.64091,0.6867219917012449,0.06781877997542529,0.16244986611330492,1142076353.7020001,0.9684813753581661
601890,亚星锚链,9.67,0.8212756849315068,0.7999999999999999,0.9178082191780821,0.6638127853881279,,0.910958904109589,0.44776538834622226,-0.05377160571142281,0.30708248694458223,-0.2887734320469718,0.6340206185567009,300,5741.0,0.15531660692951021,0.1192129629629628,2.110836277076773,520622392.4595,,0,1,,,,,,0,0,,2010-12-28,2026-09-16,700710342.55,6.679259,10.21952,0.7102040816326528,0.054468131508641715,0.11854408050741272,520622392.4595,0.9220630372492836
002383,合众思壮,8.16,0.8195015220700154,0.9999999999999999,0.9246575342465753,0.9651826484018264,0.5555555555555556,0.634703196347032,0.31612903225806455,-0.3518665607625099,0.20611551528878824,-0.46209624258404747,0.9466666666666667,300,6011.0,0.20531757754800606,0.17748917748917759,1.9440392405022053,187913340.08900002,北斗导航|商业航天|农机,1,2,,,0.0,,,3,3,北斗导航+商业航天+农机,2010-04-02,2026-09-16,408078136.05,6.2,12.59,0.9578947368421052,0.10967566464948675,0.167660386358216,187913340.08900002,0.951862464183381
600108,亚盛集团,3.96,0.8115724885844748,0.7999999999999999,0.7968036529680365,0.7448630136986301,,0.9794520547945206,0.6351352578930374,0.2571428571428571,0.2753623188405797,-0.43103448275862066,0.2827868852459016,300,10621.0,0.13467048710601714,0.13793103448275867,1.5857133656190017,1178598213.3790002,,0,5,,,,,,0,0,,1997-08-18,2026-09-16,1025870756.86,2.421818,3.15,0.39446366782006925,-0.032258064516129115,0.16367910667058494,1178598213.3790002,0.9018147086914995
