symbol,name,industry,close,score,score_coverage,score_industry,score_growth,score_quality,score_valuation,score_momentum,score_risk,score_theme,score_capital,score_liquidity,ret_since_924,ret_ytd,close_position_250,dist_to_52w_high,close_position_20,history_days,listed_days,ret_20,ret_60,relative_ret_20,relative_ret_60,realized_vol_20,downside_vol_20,max_drawdown_60,signed_amount_pressure_20,volume_trend_20,turnover_value_20,theme_tags,theme_heat_max,theme_days_20,lhb_count_20,lhb_net_buy_rel,main_net_inflow,margin_rz_chg_20,pe_ttm,pe_industry_value,yoy_net_income,revenue_yoy,profit_growth_acceleration,positive_growth_streak,roe_avg,gross_profit_margin,cfo_to_np,liability_to_asset,pe_ttm_value,pb_mrq,ps_ttm,eps_ttm,net_profit_margin,yoy_eps_basic,yoy_profit_net_income,eps_growth_acceleration,positive_profit_streak,current_ratio,quick_ratio,cash_ratio,asset_to_equity,ebit_to_interest,cfo_to_or,cfo_to_gr,financial_safety_value,market_cap,industry_score,industry_leader_score,lhb_net_buy_20,theme_tag_count,theme_heat_sum,reason,listed_date,trade_date,amount,base_924,base_ytd,close_position_60,ma20_dev,ma60_dev,amount_avg_20,ret_rank_20,volatility_value,drawdown_value,downside_volatility_value,valuation_close,net_profit,revenue,total_share
300850,新强联,机械基件,28.65,0.7263521171257058,0.9600000000000001,0.8102893890675241,0.5501120127011362,0.7009116029694993,0.9712041884816753,0.6979681874993323,0.4662379421221865,,,0.8681672025723473,0.9606098762728565,-0.3025504500679679,0.20600486618626543,-0.4645854583279294,0.7367458866544787,300,2261.0,0.14325618515562644,0.07787810383747185,0.09861046048526978,0.047505867837017046,0.03924360340650513,0.008874974306283284,-0.20116807268007786,0.05410045026692613,1.2579762409651891,446651380.16,,,,0,,,0.1555775648736899,14.295529765388652,1.3998281903910708,0.017589,-0.06165911645647559,0.15134699999999998,1.0,0.057564,0.296256,0.867777,0.392094,-2.659946884576127,,,2.004123,0.202181,-0.091743,0.029327,0.15825699999999998,5.0,2.049385,1.505573,0.381908,1.644992,15.44597,0.175448,0.175448,-0.392094,11863559172.75,0.6147727272727272,0.8,,,,,2020-07-13,2026-09-21,163370000.0,14.6128,41.07824,0.748259860788863,0.0477810082835044,0.06889690337022758,446651380.16,0.8710847975553858,-0.03924360340650513,-0.20116807268007786,-0.008874974306283284,28.65,419189664.78,2073339945.39,414085835.0
002145,钛能化学,化工原料,4.74,0.7112201826263682,0.9600000000000001,0.8110932475884245,0.7643661214635185,0.5997060533632224,0.6544502617801047,0.6326464482450423,0.8735262593783494,,,0.6012861736334405,0.38127061160273135,-0.02382485193647199,0.3124599132639843,-0.21457171623039495,1.0,300,6989.0,0.10232558139534897,0.04410391873787667,0.05767985672499232,0.013731682737421869,0.015485245518622966,0.006585447587491559,-0.13992298082482013,0.32025171441387557,1.6275821501848418,187777671.2595,,,,0,,,-0.0371886784601152,34.87653412602643,0.20769492448610335,0.606305,0.24428599299540976,0.835282,1.0,0.033252,0.179062,0.842675,0.378115,-3.551814228450773,,,0.135908,0.092535,0.64557,0.619339,0.855379,5.0,1.652938,1.378945,1.075733,1.608014,,0.077977,0.077977,-0.378115,18043626147.420002,0.6007575757575757,0.8403361344537815,,,,,2007-08-03,2026-09-21,188230000.0,3.431623,4.855686,0.8402085486060645,0.08293351610692268,0.06716965429391752,187777671.2595,0.7988922841864018,-0.015485245518622966,-0.13992298082482013,-0.006585447587491559,4.74,421711542.75,4557336219.66,3806672183.0
688385,复旦微电,半导体,59.77,0.7097639622176005,0.9600000000000001,0.8191318327974277,0.5907937625712261,0.9667012412267054,0.6361256544502618,0.6321390292451385,0.38478027867095393,,,0.9035369774919614,1.354454752870883,-0.18830077550751567,0.26240253205874414,-0.3895690972649182,1.0,300,1874.0,0.137826004188083,-0.12077844572987673,0.09318027951772634,-0.15115068173033153,0.03218834723409424,0.009613462066550615,-0.3756756756756756,0.1409715285876611,1.3746449132034986,633146961.7285,,,,0,,,-0.03927503781318009,55.451030162688525,0.5761435280041535,3.672741,,,1.0,0.129452,0.56988,,,-4.015500291850827,,,1.077888,0.37894,3.291667,3.385805,,1.0,,,,,,,,,49233699572.5,0.6696969696969697,0.7150259067357513,,,,,2021-08-04,2026-09-21,394140000.0,25.38592,73.63565,0.4881294964028778,0.09460845359314352,0.06063895490927518,633146961.7285,0.8644003055767762,-0.03218834723409424,-0.3756756756756756,-0.009613462066550615,59.77,843327816.82,2225494085.21,823719250.0
688336,三生国健,生物制药,42.12,0.7024925141724078,0.9600000000000001,0.8143086816720257,0.5473102027745246,0.92925007779276,0.9895287958115184,0.3711333781998554,0.4490889603429797,,,0.6720257234726688,2.6091153297430685,0.033491047862265866,0.2711955990542069,-0.3329896931705081,0.7310469314079419,300,2252.0,-0.030609896432681416,-0.15336683417085428,-0.07525562110303807,-0.18373907017130908,0.02096992897307892,0.012439806723721419,-0.3730237154150198,0.3222820719677184,1.2831397595392358,226385604.46299997,,,,0,,,-0.08068961926530749,12.254955444857499,1.5205708161045142,0.981522,,,1.0,0.043796,0.804807,,,-2.505930381302924,,,3.436977,0.425181,0.952381,0.951026,,1.0,,,,,,,,,37749015069.479996,0.5651515151515152,0.9210526315789473,,,,,2020-07-22,2026-09-21,209410000.0,11.67045,40.75507,0.17880794701986744,0.017108774132789106,-0.07696690565500208,226385604.46299997,0.19938884644766997,-0.02096992897307892,-0.3730237154150198,-0.012439806723721419,42.12,368080700.0,865703200.0,896225429.0
002264,新华都,互联网,7.55,0.6972432286856138,0.9600000000000001,0.6704180064308682,0.6255909817387268,0.7370130606864107,0.6858638743455497,0.8163161024523471,0.6527331189710611,,,0.6913183279742765,0.6608083759295853,-0.1320637936560416,0.2849516025205667,-0.3907890532458437,0.8655462184873949,300,6626.0,0.1705426356589146,0.33392226148409887,0.12589691098855793,0.30355002548364407,0.031752022138917035,0.008519726254995669,-0.08430609597924776,0.08964504579576636,1.3101388093835848,243712137.42,,,,0,,,,33.14339897628601,0.22947373897980872,-0.048229,0.1632507285683178,0.069772,,0.069165,0.194271,4.064794,0.385197,-3.5008435708997854,,,0.227798,0.065505,-0.047619,-0.037377,0.029304000000000004,5.0,2.401211,1.823399,1.174473,1.626538,,0.266265,0.266265,-0.385197,5434575315.0,0.6700757575757575,0.3875,,,,,2008-07-31,2026-09-21,255520000.0,4.545979,8.698796,0.9227053140096618,0.07168204400283895,0.15744289437375425,243712137.42,0.8993506493506493,-0.031752022138917035,-0.08430609597924776,-0.008519726254995669,7.55,141611113.67,2161829476.93,719811300.0
300450,先导智能,专用机械,32.57,0.6966468640591252,0.9600000000000001,0.7419614147909968,0.767103815747387,0.6980380015970264,0.8115183246073299,0.37065266546310444,0.6666666666666666,,,0.9389067524115756,1.3705029949707783,-0.3437478025021403,0.07681114047592177,-0.5169443235692905,0.7073170731707311,300,4144.0,-0.037529550827423264,-0.18042274786109713,-0.08217527549777992,-0.21079498386155193,0.01826451452499913,0.008393967028114164,-0.27136542239685657,0.18457948342338873,1.4253542470637248,911812572.3185002,,,,0,,,0.010447932900427448,30.6416302814947,0.7130115376449719,0.296208,0.23944036707991878,0.186761,5.0,0.061426,0.319501,4.407418,0.639919,-3.4223595510774993,,,1.062933,0.113177,0.208333,0.291532,0.077898,5.0,1.4399,0.888462,0.494534,2.777155,210.416266,0.498817,0.498817,-0.639919,54529392105.38,0.5015151515151515,0.9616858237547893,,,,,2015-05-18,2026-09-21,386560000.0,13.7397,49.63031,0.2624434389140271,0.018990708006132007,-0.03739680412980506,911812572.3185002,0.16825821237585945,-0.01826451452499913,-0.27136542239685657,-0.008393967028114164,32.57,926805913.88,8189022992.98,1674221434.0
603099,长白山,旅游景点,41.2,0.6926265778594297,0.9600000000000001,0.8778135048231511,0.7788354174330953,0.6982173266012509,0.2984293193717278,0.6185312979599976,0.879957127545552,,,0.729903536977492,0.646607628589265,-0.083725474366664,0.318491757890543,-0.28561916704582013,1.0,300,4413.0,0.07040789815536508,0.16929886626257762,0.02576217348500842,0.13892663026212282,0.020172585095221168,0.003809527873334138,-0.09640924741760937,0.2447960885014304,1.2248446918267113,271767555.9555,,,,0,,,0.0016573596585032213,84.58031126375714,-0.5930568050927104,1.264638,0.1774416266103862,0.48555499999999996,2.0,0.000846,0.194394,43.202895,0.159299,-4.437701512148202,,,0.487111,0.002538,1.626667,1.618384,1.126667,4.0,3.0859,2.974277,2.052463,1.189484,15.093895,0.109642,0.109642,-0.159299,11221061432.0,0.603030303030303,0.9444444444444444,,,,,2014-08-22,2026-09-21,425170000.0,25.02114,44.96469,1.0,0.06174621173074968,0.08697512358933523,271767555.9555,0.7173414820473644,-0.020172585095221168,-0.09640924741760937,-0.003809527873334138,41.2,703639.97,277259936.98,272355860.0
603888,新华网,互联网,17.78,0.691299678993566,0.9600000000000001,0.8665594855305466,0.3893860846208967,0.8336859938457283,0.6178010471204188,0.7284329120865425,0.6613076098606645,,,0.8070739549839229,0.26347595167524274,0.015046436376341399,0.2342910946683234,-0.3337043303597359,0.7076271186440687,300,3615.0,0.12602913236225466,0.14865152961880024,0.081383407691898,0.11827929361834544,0.022493642072921878,0.012483355712620029,-0.08675534991324463,0.5462525926625811,1.692526934019764,352065489.232,,,,0,,,0.0708069235532165,37.40488367249479,0.10851603450539546,-0.055125,,,,0.038359,0.405891,,,-3.6218012753741986,,,0.475339,0.174951,-0.055395,-0.055125,,1.0,,,,,,,,,11996844627.04,0.6700757575757575,0.7625,,,,,2016-10-28,2026-09-21,376070000.0,14.07229,17.51644,0.797932468445252,0.04872006606110646,0.09022514436898743,352065489.232,0.8462566844919787,-0.022493642072921878,-0.08675534991324463,-0.012483355712620029,17.78,145568564.15,,674738168.0
301061,匠心家居,家居用品,42.13,0.6820102127419019,0.9600000000000001,0.657556270096463,0.46751801965731965,0.847427849224883,0.8350785340314136,0.8185149181185971,0.4994640943193998,,,0.4790996784565916,0.4887988471261908,-0.4171094494956399,0.18263191562673797,-0.503075318589701,0.9673423423423424,300,1834.0,0.21903935185185186,0.18475815523059613,0.1743936271814952,0.15438591923014133,0.04207279529674164,0.010026102046153545,-0.1299610894941634,0.32123557554235244,1.5070577700799357,140700765.77350003,,,,0,,,0.21580776523617162,16.34314633303321,0.5073313871052533,-0.287909,-0.06809272580132075,-0.14532200000000003,,0.071738,0.386323,1.016842,0.222174,-2.793808624936907,,,2.577839,0.196562,-0.294118,-0.287909,0.05071000000000003,5.0,4.580961,4.084351,3.530333,1.285634,,0.199872,0.199872,-0.222174,11981671772.730001,0.4590909090909091,0.9117647058823529,,,,,2021-09-13,2026-09-21,84120000.0,28.29798,72.27772,0.9704684317718942,0.13096116934888524,0.17660201360088257,140700765.77350003,0.9348739495798319,-0.04207279529674164,-0.1299610894941634,-0.010026102046153545,42.13,307553996.1,1564669191.63,284397621.0
601369,陕鼓动力,机械基件,9.15,0.6736094431489249,0.9600000000000001,0.8384244372990354,0.5556163009859069,0.5902822177138383,0.8926701570680629,0.5136771675693383,0.8467309753483386,,,0.2347266881028939,0.2866150970712422,-0.07074674182480545,0.2761728021566996,-0.2510607925823096,1.0,290,5990.0,0.04691075514874132,0.024636058230683267,0.0022650304783846664,-0.005736177769771533,0.018743585715029057,0.005721430623992845,-0.13842975206611574,0.14506734543836236,1.544863497513377,89543124.028,,,,0,,,0.22302443023810525,23.697909922042943,0.8943882196583219,-0.186261,0.02638983020359098,0.010315999999999992,,0.037034,0.222561,1.315535,0.559345,-3.1653868553088764,,,0.38611,0.077577,-0.208333,-0.199422,0.058334,5.0,1.534631,1.390894,0.873704,2.269349,,0.102055,0.102055,-0.559345,15769791601.800001,0.6147727272727272,0.8521739130434782,,,,,2010-04-28,2026-09-21,205110000.0,7.111684,9.846616,0.6369863013698632,0.05768119292567331,0.020882533425070182,89543124.028,0.6283422459893048,-0.018743585715029057,-0.13842975206611574,-0.005721430623992845,9.15,386937753.55,4987791352.26,1723474492.0
002223,鱼跃医疗,医疗保健,26.34,0.6711073792125517,0.9600000000000001,0.7572347266881029,0.507522667626709,0.7941716100008789,0.8507853403141361,0.3362799243678627,0.9678456591639871,,,0.5369774919614148,-0.12088117477509708,-0.28438264282869363,0.10315534919214908,-0.397715021339501,1.0,300,6730.0,0.029314759295095305,0.021064395670593816,-0.015330965375261352,-0.009307840329860984,0.01003918869511873,0.003771413872289647,-0.09552546072465873,0.1445078270593035,1.1341183464925062,162551862.22100002,,,,0,,,-0.049693928869161685,23.536097618511487,0.6455188671483586,-0.293246,-0.013701391781012706,0.018013,,0.063434,0.498027,1.39427,0.204193,-3.1585353114758834,,,1.119132,0.185557,-0.299278,-0.299235,0.016461000000000003,5.0,2.758662,2.339519,0.435152,1.256586,,0.258717,0.258717,-0.204193,26405242309.86,0.5136363636363637,0.9298245614035088,,,,,2008-04-18,2026-09-21,60190000.0,29.96182,36.80738,0.4765383715047304,0.019376592001910886,0.004345988880814611,162551862.22100002,0.55061115355233,-0.01003918869511873,-0.09552546072465873,-0.003771413872289647,26.34,847869043.23,4569315559.46,1002476929.0
603000,人民网,互联网,16.9,0.6673582052278888,0.9600000000000001,0.9180064308681672,0.7281315947006554,0.5417560510861918,0.31413612565445026,0.6106814370106076,0.784565916398714,,,0.864951768488746,-0.10407281078335862,-0.10558443441711096,0.16008613310967038,-0.44733657104717295,0.4615384615384601,300,5260.0,0.07438016528925617,0.16622984803127983,0.029734440618899516,0.13585761203082503,0.022985277282055204,0.007507374495837636,-0.09959931310818537,0.3459586801368684,1.6903383229333009,442670495.7075,,,,0,,,0.08148204427163286,78.14631394472418,-0.6282655794612434,4.425008,,6.342078,1.0,0.005561,0.39303,-3.981069,0.275089,-4.358582889340838,,,0.216261,0.031091,5.085106,5.115348,7.0951059999999995,1.0,2.660798,2.471814,1.991898,1.37948,,-0.123775,-0.123775,-0.275089,18686178846.399998,0.6700757575757575,0.8625,,,,,2012-04-27,2026-09-21,289640000.0,18.86314,18.89502,0.8053891753134617,0.0019564830734568606,0.0403440070850094,442670495.7075,0.7314744079449962,-0.022985277282055204,-0.09959931310818537,-0.007507374495837636,16.9,22745957.8,,1105691056.0
600982,宁波能源,供气供热,5.15,0.6613684722709879,0.9600000000000001,0.682475884244373,0.5751785115278087,0.4950159885797618,0.8952879581151832,0.5986137669006134,0.917470525187567,,,0.4630225080385852,0.6070352571053583,0.21986951896636553,0.3170212664224952,-0.27969600094212965,0.785714285714286,300,8112.0,0.08193277310924385,0.0662525879917184,0.037287048438887194,0.035880351991263604,0.013607098175889225,0.00422334018012626,-0.1376811594202898,0.19750849149648247,1.338171803266568,137259375.0,,,,0,,,,15.72658342265422,0.621410691535995,0.200743,0.11270076253476735,-0.44501899999999994,5.0,0.028894,0.210858,1.413687,0.631746,-2.7553524921215446,,,0.327471,0.103199,0.067323,0.128741,-0.531593,5.0,0.79319,0.765008,0.171369,2.715518,4.26617,0.145891,0.145891,-0.631746,5755781547.75,0.625,0.5227272727272727,,,,,2004-07-06,2026-09-21,48350000.0,3.204659,4.221763,0.6300000000000008,0.02989701029896996,0.03991384532543596,137259375.0,0.7503819709702063,-0.013607098175889225,-0.1376811594202898,-0.00422334018012626,5.15,215146899.33,2084771445.55,1117627485.0
300750,宁德时代,电气设备,297.52,0.6556814847594996,0.9600000000000001,0.6358520900321544,0.7226910060199152,0.6631431374142316,0.950261780104712,0.2624940801116678,0.5101822079314041,,,1.0,0.57937092708946,-0.17421114015595396,0.0,-0.350875604490548,0.0,300,3024.0,-0.23297842171749727,-0.23897126062650842,-0.27762414638785393,-0.2693434966269632,0.018232073180903155,0.014742414866907597,-0.2630868221040269,-0.4696587601872513,1.3767820298887992,10714329082.5135,,,,0,,,0.10620521226263291,16.194339035607296,0.9836412452254414,0.453113,0.5480036914854491,-0.07681700000000002,5.0,0.120827,0.239284,1.280375,0.636525,-2.7846617389227064,,,18.371852,0.169837,0.374277,0.419839,-0.06597499999999995,5.0,1.559533,1.290693,0.904655,2.751217,,0.217455,0.217455,-0.636525,1376521164164.72,0.39242424242424245,1.0,,,,,2018-06-11,2026-09-21,6013780000.0,188.3788,360.2858,0.0,-0.12744208144597335,-0.19395334605832149,10714329082.5135,0.0066844919786096255,-0.018232073180903155,-0.2630868221040269,-0.014742414866907597,297.52,47030638000.0,276916580000.0,4626650861.0
002204,大连重工,专用机械,5.53,0.6540331675059755,0.9600000000000001,0.6053054662379421,0.6814079865827071,0.46547320249540924,0.9554973821989529,0.5569413138769305,0.6934619506966774,,,0.639871382636656,0.35588133758061735,-0.2652521952085408,0.1656168585794265,-0.3086321217767629,0.5200000000000008,300,6823.0,0.08431372549019622,0.04933586337760931,0.039668000819839566,0.018963627377154513,0.025657837175530336,0.00980011620187065,-0.07775768535262217,-0.1456892989608705,1.3152916965554056,201802306.969,,,,0,,,0.19594077880462635,16.645796710573844,1.323213353982222,0.18756,0.07629414770655707,0.025862999999999997,5.0,0.046768,0.178722,1.950917,0.711063,-2.8121577347402495,,,0.332216,0.046218,0.187385,0.18756,0.025338,5.0,1.174001,0.834632,0.218511,3.460964,,0.090168,0.090168,-0.711063,10680476276.960001,0.5015151515151515,0.6819923371647509,,,,,2008-01-16,2026-09-21,91490000.0,4.078528,7.526392,0.5764705882352946,0.02941176470588247,0.04303542799660498,201802306.969,0.7572574484339191,-0.025657837175530336,-0.07775768535262217,-0.00980011620187065,5.53,370735859.5,8021375208.57,1931370032.0
